pga_tournament_dates.xls,,,"2003-2011 tournament dates",,,,,,
,,,,,,,,,
"Tournament Year","Tournament Number","Permanent Tournament Number"," Event Name",,,,,"Start date","End date"
2003,10,16,"Mercedes Championships",,,,,2003/01/09,2003/01/12
2003,20,6,"Sony Open in Hawaii",,,,,2003/01/16,2003/01/19
2003,30,3,"Phoenix Open",,,,,2003/01/23,2003/01/26
2003,40,2,"Bob Hope Chrysler Classic",,,,,2003/01/29,2003/02/02
2003,50,5,"AT&T Pebble Beach National Pro-Am",,,,,2003/02/06,2003/02/09
2003,60,4,"Buick Invitational",,,,,2003/02/13,2003/02/16
2003,70,7,"Nissan Open",,,,,2003/02/20,2003/02/23
2003,80,1,"Chrysler Classic of Tucson",,,,,2003/02/27,2003/03/02
2003,100,8,"Ford Championship at Doral",,,,,2003/03/06,2003/03/09
2003,110,10,"The Honda Classic",,,,,2003/03/13,2003/03/16
2003,120,9,"Bay Hill Invitational presented by Cooper Tires",,,,,2003/03/20,2003/03/23
2003,130,11,"THE PLAYERS Championship",,,,,2003/03/27,2003/03/30
2003,140,22,"BellSouth Classic",,,,,2003/04/03,2003/04/06
2003,150,14,"Masters Tournament",,,,,2003/04/10,2003/04/13
2003,160,12,"MCI Heritage",,,,,2003/04/17,2003/04/20
2003,170,20,"Shell Houston Open",,,,,2003/04/24,2003/04/27
2003,180,18,"HP Classic of New Orleans",,,,,2003/05/01,2003/05/04
2003,190,480,"Wachovia Championship",,,,,2003/05/08,2003/05/11
2003,200,19,"EDS Byron Nelson Championship",,,,,2003/05/15,2003/05/18
2003,210,21,"Bank of America Colonial",,,,,2003/05/22,2003/05/25
2003,220,23,"the Memorial Tournament",,,,,2003/05/29,2003/06/01
2003,230,24,"FBR Capital Open",,,,,2003/06/05,2003/06/08
2003,240,26,"U.S. Open Championship",,,,,2003/06/12,2003/06/15
2003,250,27,"Buick Classic",,,,,2003/06/19,2003/06/22
2003,260,25,"FedEx St. Jude Classic",,,,,2003/06/26,2003/06/29
2003,270,28,"100th Western Open presented by Golf Digest",,,,,2003/07/03,2003/07/06
2003,280,29,"Greater Milwaukee Open",,,,,2003/07/10,2003/07/13
2003,290,37,"B.C. Open",,,,,2003/07/17,2003/07/20
2003,300,100,"British Open Championship",,,,,2003/07/17,2003/07/20
2003,310,34,"Greater Hartford Open",,,,,2003/07/24,2003/07/27
2003,320,35,"Buick Open",,,,,2003/07/31,2003/08/03
2003,330,56,"The INTERNATIONAL",,,,,2003/08/07,2003/08/10
2003,340,33,"PGA Championship",,,,,2003/08/14,2003/08/17
2003,350,472,"Reno-Tahoe Open",,,,,2003/08/21,2003/08/24
2003,360,476,"World Golf Championships-NEC Invitational",,,,,2003/08/28,2003/08/31
2003,370,505,"Deutsche Bank Championship",,,,,2003/09/04,2003/09/07
2003,380,32,"Bell Canadian Open",,,,,2003/09/11,2003/09/14
2003,390,30,"John Deere Classic",,,,,2003/09/18,2003/09/21
2003,400,474,"84 Lumber Classic of Pennsylvania",,,,,2003/09/25,2003/09/28
2003,410,41,"Valero Texas Open",,,,,2003/10/02,2003/10/05
2003,420,54,"Southern Farm Bureau Classic",,,,,2003/10/09,2003/10/12
2003,430,473,"World Golf Championships-American Express Championship",,,,,2003/10/16,2003/10/19
2003,440,47,"Las Vegas Invitational",,,,,2003/10/22,2003/10/26
2003,450,13,"Chrysler Classic of Greensboro",,,,,2003/10/30,2003/11/02
2003,460,45,"FUNAI Classic at the WALT DISNEY WORLD Resort",,,,,2003/11/06,2003/11/09
2003,470,475,"Chrysler Championship",,,,,2003/11/13,2003/11/16
2003,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2003/11/20,2003/11/23
,,,,,,,,,
2004,10,16,"Mercedes Championships",,,,,2004/01/08,2004/01/11
2004,20,6,"Sony Open in Hawaii",,,,,2004/01/15,2004/01/18
2004,30,2,"Bob Hope Chrysler Classic",,,,,2004/01/21,2004/01/25
2004,40,3,"FBR Open",,,,,2004/01/29,2004/02/01
2004,50,5,"AT&T Pebble Beach National Pro-Am",,,,,2004/02/05,2004/02/08
2004,60,4,"Buick Invitational",,,,,2004/02/12,2004/02/15
2004,70,7,"Nissan Open",,,,,2004/02/19,2004/02/22
2004,80,1,"Chrysler Classic of Tucson",,,,,2004/02/26,2004/02/29
2004,100,8,"Ford Championship at Doral",,,,,2004/03/04,2004/03/07
2004,110,10,"The Honda Classic",,,,,2004/03/11,2004/03/14
2004,120,9,"Bay Hill Invitational Presented by MasterCard",,,,,2004/03/18,2004/03/21
2004,130,11,"THE PLAYERS Championship",,,,,2004/03/25,2004/03/28
2004,140,22,"BellSouth Classic",,,,,2004/04/01,2004/04/04
2004,150,14,"Masters Tournament",,,,,2004/04/08,2004/04/11
2004,160,12,"MCI Heritage",,,,,2004/04/15,2004/04/18
2004,170,20,"Shell Houston Open",,,,,2004/04/22,2004/04/25
2004,180,18,"HP Classic of New Orleans",,,,,2004/04/29,2004/05/02
2004,190,480,"Wachovia Championship",,,,,2004/05/06,2004/05/09
2004,200,19,"EDS Byron Nelson Championship",,,,,2004/05/13,2004/05/16
2004,210,21,"Bank of America Colonial",,,,,2004/05/20,2004/05/23
2004,220,25,"FedEx St. Jude Classic",,,,,2004/05/27,2004/05/30
2004,230,23,"the Memorial Tournament",,,,,2004/06/03,2004/06/06
2004,240,27,"Buick Classic",,,,,2004/06/10,2004/06/13
2004,250,26,"U.S. Open Championship",,,,,2004/06/17,2004/06/20
2004,260,24,"Booz Allen Classic",,,,,2004/06/24,2004/06/27
2004,270,28,"Cialis Western Open",,,,,2004/07/01,2004/07/04
2004,280,30,"John Deere Classic",,,,,2004/07/08,2004/07/11
2004,290,37,"B.C. Open",,,,,2004/07/15,2004/07/18
2004,300,100,"British Open Championship",,,,,2004/07/15,2004/07/18
2004,310,29,"U.S. Bank Championship in Milwaukee",,,,,2004/07/22,2004/07/25
2004,320,35,"Buick Open",,,,,2004/07/29,2004/08/01
2004,330,56,"The INTERNATIONAL",,,,,2004/08/05,2004/08/08
2004,340,33,"PGA Championship",,,,,2004/08/12,2004/08/15
2004,350,472,"Reno-Tahoe Open",,,,,2004/08/19,2004/08/22
2004,360,476,"World Golf Championships-NEC Invitational",,,,,2004/08/19,2004/08/22
2004,370,34,"Buick Championship",,,,,2004/08/26,2004/08/29
2004,380,505,"Deutsche Bank Championship",,,,,2004/09/03,2004/09/06
2004,390,32,"Bell Canadian Open",,,,,2004/09/09,2004/09/12
2004,400,41,"Valero Texas Open",,,,,2004/09/16,2004/09/19
2004,420,474,"84 LUMBER Classic",,,,,2004/09/23,2004/09/26
2004,430,54,"Southern Farm Bureau Classic",,,,,2004/09/30,2004/10/03
2004,440,473,"World Golf Championships-American Express Championship",,,,,2004/09/30,2004/10/03
2004,450,47,"Michelin Championship at Las Vegas",,,,,2004/10/07,2004/10/10
2004,460,13,"Chrysler Classic of Greensboro",,,,,2004/10/14,2004/10/17
2004,470,45,"FUNAI Classic at the WALT DISNEY WORLD Resort",,,,,2004/10/21,2004/10/24
2004,480,475,"Chrysler Championship",,,,,2004/10/28,2004/10/31
2004,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2004/11/04,2004/11/07
,,,,,,,,,
2005,10,16,"Mercedes Championships",,,,,2005/01/06,2005/01/09
2005,20,6,"Sony Open in Hawaii",,,,,2005/01/13,2005/01/16
2005,30,4,"Buick Invitational",,,,,2005/01/20,2005/01/23
2005,40,2,"Bob Hope Chrysler Classic",,,,,2005/01/26,2005/01/30
2005,50,3,"FBR Open",,,,,2005/02/03,2005/02/06
2005,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2005/02/10,2005/02/13
2005,70,7,"Nissan Open",,,,,2005/02/17,2005/02/20
2005,80,1,"Chrysler Classic of Tucson",,,,,2005/02/24,2005/02/27
2005,100,8,"Ford Championship at Doral",,,,,2005/03/03,2005/03/06
2005,110,10,"The Honda Classic",,,,,2005/03/10,2005/03/13
2005,120,9,"Bay Hill Invitational Presented by MasterCard",,,,,2005/03/17,2005/03/20
2005,130,11,"THE PLAYERS Championship",,,,,2005/03/24,2005/03/27
2005,140,22,"BellSouth Classic",,,,,2005/03/31,2005/04/03
2005,150,14,"Masters Tournament",,,,,2005/04/07,2005/04/10
2005,160,12,"MCI Heritage",,,,,2005/04/14,2005/04/17
2005,170,20,"Shell Houston Open",,,,,2005/04/21,2005/04/24
2005,180,18,"Zurich Classic of New Orleans",,,,,2005/04/28,2005/05/01
2005,190,480,"Wachovia Championship",,,,,2005/05/05,2005/05/08
2005,200,19,"EDS Byron Nelson Championship",,,,,2005/05/12,2005/05/15
2005,210,21,"Bank of America Colonial",,,,,2005/05/19,2005/05/22
2005,220,25,"FedEx St. Jude Classic",,,,,2005/05/26,2005/05/29
2005,230,23,"the Memorial Tournament",,,,,2005/06/02,2005/06/05
2005,240,24,"Booz Allen Classic",,,,,2005/06/09,2005/06/12
2005,250,26,"U.S. Open Championship",,,,,2005/06/16,2005/06/19
2005,260,27,"Barclays Classic",,,,,2005/06/23,2005/06/26
2005,270,28,"Cialis Western Open",,,,,2005/06/30,2005/07/03
2005,280,30,"John Deere Classic",,,,,2005/07/07,2005/07/10
2005,290,37,"B.C. Open",,,,,2005/07/14,2005/07/17
2005,300,100,"British Open Championship",,,,,2005/07/14,2005/07/17
2005,310,29,"U.S. Bank Championship in Milwaukee",,,,,2005/07/21,2005/07/24
2005,320,35,"Buick Open",,,,,2005/07/28,2005/07/31
2005,330,56,"The INTERNATIONAL",,,,,2005/08/04,2005/08/07
2005,340,33,"PGA Championship",,,,,2005/08/11,2005/08/14
2005,350,472,"Reno-Tahoe Open",,,,,2005/08/18,2005/08/21
2005,360,476,"World Golf Championships-NEC Invitational",,,,,2005/08/18,2005/08/21
2005,370,34,"Buick Championship",,,,,2005/08/25,2005/08/28
2005,380,505,"Deutsche Bank Championship",,,,,2005/09/02,2005/09/05
2005,390,32,"Bell Canadian Open",,,,,2005/09/08,2005/09/11
2005,400,474,"84 LUMBER Classic",,,,,2005/09/15,2005/09/18
2005,410,41,"Valero Texas Open",,,,,2005/09/22,2005/09/25
2005,430,13,"Chrysler Classic of Greensboro",,,,,2005/09/29,2005/10/02
2005,450,473,"World Golf Championships-American Express Championship",,,,,2005/10/06,2005/10/09
2005,460,47,"Michelin Championship at Las Vegas",,,,,2005/10/13,2005/10/16
2005,470,45,"FUNAI Classic at the WALT DISNEY WORLD Resort",,,,,2005/10/20,2005/10/23
2005,480,475,"Chrysler Championship",,,,,2005/10/27,2005/10/30
2005,485,54,"Southern Farm Bureau Classic",,,,,2005/11/03,2005/11/06
2005,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2005/11/03,2005/11/06
,,,,,,,,,
,,,,,,,,,
2006,10,16,"Mercedes Championships",,,,,2006/01/05,2006/01/08
2006,20,6,"Sony Open in Hawaii",,,,,2006/01/12,2006/01/15
2006,30,2,"Bob Hope Chrysler Classic",,,,,2006/01/18,2006/01/22
2006,40,4,"Buick Invitational",,,,,2006/01/26,2006/01/29
2006,50,3,"FBR Open",,,,,2006/02/02,2006/02/05
2006,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2006/02/09,2006/02/12
2006,70,7,"Nissan Open",,,,,2006/02/16,2006/02/19
2006,80,1,"Chrysler Classic of Tucson",,,,,2006/02/23,2006/02/26
2006,100,8,"Ford Championship at Doral",,,,,2006/03/02,2006/03/05
2006,110,10,"The Honda Classic",,,,,2006/03/09,2006/03/12
2006,120,9,"Bay Hill Invitational Presented by MasterCard",,,,,2006/03/16,2006/03/19
2006,130,11,"THE PLAYERS Championship",,,,,2006/03/23,2006/03/26
2006,140,22,"BellSouth Classic",,,,,2006/03/30,2006/04/02
2006,150,14,"Masters Tournament",,,,,2006/04/06,2006/04/09
2006,160,12,"Verizon Heritage",,,,,2006/04/13,2006/04/16
2006,170,20,"Shell Houston Open",,,,,2006/04/20,2006/04/23
2006,180,18,"Zurich Classic of New Orleans",,,,,2006/04/27,2006/04/30
2006,190,480,"Wachovia Championship",,,,,2006/05/04,2006/05/07
2006,200,19,"EDS Byron Nelson Championship",,,,,2006/05/11,2006/05/14
2006,210,21,"Bank of America Colonial",,,,,2006/05/18,2006/05/21
2006,220,25,"FedEx St. Jude Classic",,,,,2006/05/25,2006/05/28
2006,230,23,"the Memorial Tournament",,,,,2006/06/01,2006/06/04
2006,240,27,"Barclays Classic",,,,,2006/06/08,2006/06/11
2006,250,26,"U.S. Open Championship",,,,,2006/06/15,2006/06/18
2006,260,24,"Booz Allen Classic",,,,,2006/06/22,2006/06/25
2006,270,34,"Buick Championship",,,,,2006/06/29,2006/07/02
2006,280,28,"Cialis Western Open",,,,,2006/07/06,2006/07/09
2006,290,30,"John Deere Classic",,,,,2006/07/13,2006/07/16
2006,300,37,"B.C. Open presented by Turning Stone Resort",,,,,2006/07/20,2006/07/23
2006,310,100,"British Open Championship",,,,,2006/07/20,2006/07/23
2006,320,29,"U.S. Bank Championship in Milwaukee",,,,,2006/07/27,2006/07/30
2006,330,35,"Buick Open",,,,,2006/08/03,2006/08/06
2006,340,56,"The INTERNATIONAL",,,,,2006/08/10,2006/08/13
2006,350,33,"PGA Championship",,,,,2006/08/17,2006/08/20
2006,360,472,"Reno-Tahoe Open",,,,,2006/08/24,2006/08/27
2006,370,476,"World Golf Championships-Bridgestone Invitational",,,,,2006/08/24,2006/08/27
2006,380,505,"Deutsche Bank Championship",,,,,2006/09/01,2006/09/04
2006,390,32,"Canadian Open",,,,,2006/09/07,2006/09/10
2006,400,474,"84 LUMBER Classic",,,,,2006/09/14,2006/09/17
2006,410,41,"Valero Texas Open",,,,,2006/09/21,2006/09/24
2006,430,54,"Southern Farm Bureau Classic",,,,,2006/09/28,2006/10/01
2006,440,473,"World Golf Championships-American Express Championship",,,,,2006/10/05,2006/10/08
2006,450,13,"Chrysler Classic of Greensboro",,,,,2006/10/05,2006/10/08
2006,460,47,"Frys.com Open",,,,,2006/10/12,2006/10/15
2006,470,45,"FUNAI Classic at the WALT DISNEY WORLD Resort",,,,,2006/10/19,2006/10/22
2006,480,475,"Chrysler Championship",,,,,2006/10/26,2006/10/29
2006,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2006/11/02,2006/11/05
,,,,,,,,,
2007,10,16,"Mercedes-Benz Championship",,,,,2007/01/04,2007/01/07
2007,20,6,"Sony Open in Hawaii",,,,,2007/01/11,2007/01/14
2007,30,2,"Bob Hope Chrysler Classic",,,,,2007/01/17,2007/01/21
2007,40,4,"Buick Invitational",,,,,2007/01/25,2007/01/28
2007,50,3,"FBR Open",,,,,2007/02/01,2007/02/04
2007,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2007/02/08,2007/02/11
2007,70,7,"Nissan Open",,,,,2007/02/15,2007/02/18
2007,80,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2007/02/22,2007/02/25
2007,100,10,"The Honda Classic",,,,,2007/03/01,2007/03/04
2007,110,475,"PODS Championship",,,,,2007/03/08,2007/03/11
2007,120,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2007/03/15,2007/03/18
2007,130,473,"World Golf Championships-CA Championship",,,,,2007/03/22,2007/03/25
2007,140,20,"Shell Houston Open",,,,,2007/03/29,2007/04/01
2007,150,14,"Masters Tournament",,,,,2007/04/05,2007/04/08
2007,160,12,"Verizon Heritage",,,,,2007/04/12,2007/04/15
2007,170,18,"Zurich Classic of New Orleans",,,,,2007/04/19,2007/04/22
2007,180,19,"EDS Byron Nelson Championship",,,,,2007/04/26,2007/04/29
2007,190,480,"Wachovia Championship",,,,,2007/05/03,2007/05/06
2007,200,11,"THE PLAYERS Championship",,,,,2007/05/10,2007/05/13
2007,210,22,"AT&T Classic",,,,,2007/05/17,2007/05/20
2007,220,21,"Crowne Plaza Invitational at Colonial",,,,,2007/05/24,2007/05/27
2007,230,23,"the Memorial Tournament presented by Morgan Stanley",,,,,2007/05/31,2007/06/03
2007,240,25,"Stanford St. Jude Championship",,,,,2007/06/07,2007/06/10
2007,250,26,"U.S. Open Championship",,,,,2007/06/14,2007/06/17
2007,260,34,"Travelers Championship",,,,,2007/06/21,2007/06/24
2007,270,35,"Buick Open",,,,,2007/06/28,2007/07/01
2007,280,471,"AT&T National",,,,,2007/07/05,2007/07/08
2007,290,30,"John Deere Classic",,,,,2007/07/12,2007/07/15
2007,300,29,"U.S. Bank Championship in Milwaukee",,,,,2007/07/19,2007/07/22
2007,310,100,"British Open Championship",,,,,2007/07/19,2007/07/22
2007,320,32,"Canadian Open presented by Franklin Templeton Investments",,,,,2007/07/26,2007/07/29
2007,330,472,"Reno-Tahoe Open",,,,,2007/08/02,2007/08/05
2007,340,476,"World Golf Championships-Bridgestone Invitational",,,,,2007/08/02,2007/08/05
2007,350,33,"PGA Championship",,,,,2007/08/09,2007/08/12
2007,360,13,"Wyndham Championship",,,,,2007/08/16,2007/08/19
2007,370,27,"The Barclays",,,,,2007/08/23,2007/08/26
2007,380,505,"Deutsche Bank Championship",,,,,2007/08/31,2007/09/03
2007,390,28,"BMW Championship",,,,,2007/09/06,2007/09/09
2007,400,60,"THE TOUR Championship presented by Coca-Cola",,,,,2007/09/13,2007/09/16
2007,410,481,"Turning Stone Resort Championship",,,,,2007/09/20,2007/09/23
2007,420,54,"Viking Classic",,,,,2007/09/27,2007/09/30
2007,440,41,"Valero Texas Open",,,,,2007/10/04,2007/10/07
2007,450,47,"Frys.com Open benefiting Shriners Hospitals for Children",,,,,2007/10/11,2007/10/14
2007,460,464,"Fry's Electronics Open",,,,,2007/10/18,2007/10/21
2007,465,482,"Ginn sur Mer Classic at Tesoro",,,,,2007/10/25,2007/10/28
2007,480,45,"Children's Miracle Network Classic presented by Wal-Mart",,,,,2007/11/01,2007/11/04
,,,,,,,,,
2008,10,16,"Mercedes-Benz Championship",,,,,2008/01/03,2008/01/06
2008,20,6,"Sony Open in Hawaii",,,,,2008/01/10,2008/01/13
2008,30,2,"Bob Hope Chrysler Classic",,,,,2008/01/16,2008/01/20
2008,40,4,"Buick Invitational",,,,,2008/01/24,2008/01/27
2008,50,3,"FBR Open",,,,,2008/01/31,2008/02/03
2008,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2008/02/07,2008/02/10
2008,70,7,"Northern Trust Open",,,,,2008/02/14,2008/02/17
2008,80,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2008/02/21,2008/02/24
2008,100,10,"The Honda Classic",,,,,2008/02/28,2008/03/02
2008,110,475,"PODS Championship",,,,,2008/03/06,2008/03/09
2008,120,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2008/03/13,2008/03/16
2008,130,483,"Puerto Rico Open presented by Banco Popular",,,,,2008/03/20,2008/03/23
2008,140,473,"World Golf Championships-CA Championship",,,,,2008/03/20,2008/03/24
2008,150,18,"Zurich Classic of New Orleans",,,,,2008/03/27,2008/03/30
2008,160,20,"Shell Houston Open",,,,,2008/04/03,2008/04/06
2008,170,14,"Masters Tournament",,,,,2008/04/10,2008/04/13
2008,180,12,"Verizon Heritage",,,,,2008/04/17,2008/04/20
2008,190,19,"EDS Byron Nelson Championship",,,,,2008/04/24,2008/04/27
2008,200,480,"Wachovia Championship",,,,,2008/05/01,2008/05/04
2008,210,11,"THE PLAYERS Championship",,,,,2008/05/08,2008/05/11
2008,220,22,"AT&T Classic",,,,,2008/05/15,2008/05/18
2008,230,21,"Crowne Plaza Invitational at Colonial",,,,,2008/05/22,2008/05/25
2008,240,23,"the Memorial Tournament presented by Morgan Stanley",,,,,2008/05/29,2008/06/01
2008,250,25,"Stanford St. Jude Championship",,,,,2008/06/05,2008/06/08
2008,260,26,"U.S. Open Championship",,,,,2008/06/12,2008/06/15
2008,270,34,"Travelers Championship",,,,,2008/06/19,2008/06/22
2008,280,35,"Buick Open",,,,,2008/06/26,2008/06/29
2008,290,471,"AT&T National",,,,,2008/07/03,2008/07/06
2008,300,30,"John Deere Classic",,,,,2008/07/10,2008/07/13
2008,310,29,"U.S. Bank Championship in Milwaukee",,,,,2008/07/17,2008/07/20
2008,320,100,"British Open Championship",,,,,2008/07/17,2008/07/20
2008,330,32,"RBC Canadian Open",,,,,2008/07/24,2008/07/27
2008,340,472,"Legends Reno-Tahoe Open",,,,,2008/07/31,2008/08/03
2008,350,476,"World Golf Championships-Bridgestone Invitational",,,,,2008/07/31,2008/08/03
2008,360,33,"PGA Championship",,,,,2008/08/07,2008/08/10
2008,370,13,"Wyndham Championship",,,,,2008/08/14,2008/08/17
2008,380,27,"The Barclays",,,,,2008/08/21,2008/08/24
2008,390,505,"Deutsche Bank Championship",,,,,2008/08/29,2008/09/01
2008,400,28,"BMW Championship",,,,,2008/09/04,2008/09/07
2008,410,54,"Viking Classic",,,,,2008/09/18,2008/09/21
2008,430,60,"THE TOUR Championship presented by Coca-Cola",,,,,2008/09/25,2008/09/28
2008,440,481,"Turning Stone Resort Championship",,,,,2008/10/02,2008/10/05
2008,450,41,"Valero Texas Open",,,,,2008/10/02,2008/10/05
2008,460,47,"Justin Timberlake Shriners Hospitals for Children Open",,,,,2008/10/16,2008/10/19
2008,470,464,"Frys.com Open",,,,,2008/10/23,200810/26
2008,480,482,"Gin su Mer Classic",,,,,2008/10/30,2008/11/2
2008,490,45,"Children's Miracle Network Classic",,,,,2008/11/6,2008/11/9
,,,,,,,,,
2009,10,16,"Mercedes-Benz Championship",,,,,2009/01/08,2009/01/11
2009,20,6,"Sony Open in Hawaii",,,,,2009/01/15,2009/01/18
2009,30,2,"Bob Hope Chrysler Classic",,,,,2009/01/21,2009/01/25
2009,40,3,"FBR Open",,,,,2009/01/29,2009/02/01
2009,50,4,"Buick Invitational",,,,,2009/02/05,2009/02/08
2009,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2009/02/12,2009/02/15
2009,70,7,"Northern Trust Open",,,,,2009/02/19,2009/02/22
2009,80,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2009/02/26,2009/03/01
2009,90,470,"World Golf Championships-Accenture Match Play Championship",,,,,2009/02/26,2009/03/01
2009,100,10,"The Honda Classic",,,,,2009/03/05,2009/03/08
2009,110,483,"Puerto Rico Open presented by Banco Popular",,,,,2009/03/12,2009/03/15
2009,120,473,"World Golf Championships-CA Championship",,,,,2009/03/12,2009/03/15
2009,130,475,"Transitions Championship",,,,,2009/03/19,2009/03/22
2009,140,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2009/03/26,2009/03/29
2009,150,20,"Shell Houston Open",,,,,2009/04/02,2009/04/05
2009,160,14,"Masters Tournament",,,,,2009/04/09,2009/04/12
2009,170,12,"Verizon Heritage",,,,,2009/04/16,2009/04/19
2009,180,18,"Zurich Classic of New Orleans",,,,,2009/04/23,2009/04/26
2009,190,480,"Quail Hollow Championship",,,,,2009/04/30,2009/05/03
2009,200,11,"THE PLAYERS Championship",,,,,2009/05/07,2009/05/10
2009,210,41,"Valero Texas Open",,,,,2009/05/14,2009/05/17
2009,220,19,"HP Byron Nelson Championship",,,,,2009/05/21,2009/05/24
2009,230,21,"Crowne Plaza Invitational at Colonial",,,,,2009/05/28,2009/05/31
2009,240,23,"the Memorial Tournament",,,,,2009/06/04,2009/06/07
2009,250,25,"St. Jude Classic presented by FedEx",,,,,2009/06/11,2009/06/14
2009,260,26,"U.S. Open Championship",,,,,2009/06/18,2009/06/21
2009,270,34,"Travelers Championship",,,,,2009/06/25,2009/06/28
2009,280,471,"AT&T National",,,,,2009/07/02,2009/07/05
2009,290,30,"John Deere Classic",,,,,2009/07/09,2009/07/12
2009,300,29,"U.S. Bank Championship in Milwaukee",,,,,2009/07/16,2009/07/19
2009,310,100,"British Open Championship",,,,,2009/07/16,2009/07/19
2009,320,32,"RBC Canadian Open",,,,,2009/07/23,2009/07/26
2009,330,35,"Buick Open",,,,,2009/07/30,2009/08/02
2009,340,472,"Legends Reno-Tahoe Open",,,,,2009/08/06,2009/08/09
2009,350,476,"World Golf Championships-Bridgestone Invitational",,,,,2009/08/06,2009/08/09
