pga_tournament_dates.xls,,,"2003-2011 tournament dates",,,,,,
2009,360,33,"PGA Championship",,,,,2009/08/13,2009/08/16
2009,370,13,"Wyndham Championship",,,,,2009/08/20,2009/08/23
2009,380,27,"The Barclays",,,,,2009/08/27,2009/08/30
2009,390,505,"Deutsche Bank Championship",,,,,2009/09/04,2009/09/07
2009,400,28,"BMW Championship",,,,,2009/09/10,2009/09/13
2009,410,60,"THE TOUR Championship presented by Coca-Cola",,,,,2009/09/24,2009/09/27
2009,420,481,"Turning Stone Resort Championship",,,,,2009/10/01,2009/10/04
2009,430,500,"The Presidents Cup",,,,,2009/10/08,2009/10/11
2009,440,47,"Justin Timberlake Shriners Hospitals for Children Open",,,,,2009/10/15,2009/10/18
2009,450,464,"Frys.com Open",,,,,2009/10/22,2009/10/25
2009,460,54,"Viking Classic: Cancelled",,,,,2009/10/29,2009/11/01
2009,480,45,"Children's Miracle Network Classic",,,,,2009/11/12,2009/11/15
,,,,,,,,,
2010,10,16,"SBS Championship",,,,,2010/01/07,2010/01/10
2010,20,6,"Sony Open in Hawaii",,,,,2010/01/14,2010/01/17
2010,30,2,"Bob Hope Chrysler Classic",,,,,2010/01/20,2010/01/24
2010,40,4,"Farmers Insurance Open",,,,,2010/01/28,2010/01/31
2010,50,7,"Northern Trust Open",,,,,2010/02/04,2010/02/07
2010,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2010/02/11,2010/02/14
2010,70,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2010/02/18,2010/02/21
2010,80,470,"World Golf Championships-Accenture Match Play Championship",,,,,2010/02/18,2010/02/21
2010,90,3,"Waste Management Phoenix Open",,,,,2010/02/25,2010/02/28
2010,100,10,"The Honda Classic",,,,,2010/03/04,2010/03/07
2010,110,483,"Puerto Rico Open presented by Banco Popular",,,,,2010/03/11,2010/03/14
2010,120,473,"World Golf Championships-CA Championship",,,,,2010/03/11,2010/03/14
2010,130,475,"Transitions Championship",,,,,2010/03/18,2010/03/21
2010,140,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2010/03/25,2010/03/28
2010,150,20,"Shell Houston Open",,,,,2010/04/01,2010/04/04
2010,160,14,"Masters Tournament",,,,,2010/04/08,2010/04/11
2010,170,12,"Verizon Heritage",,,,,2010/04/15,2010/04/18
2010,180,18,"Zurich Classic of New Orleans",,,,,2010/04/22,2010/04/25
2010,190,480,"Quail Hollow Championship",,,,,2010/04/29,2010/05/02
2010,200,11,"THE PLAYERS Championship",,,,,2010/05/06,2010/05/09
2010,210,41,"Valero Texas Open",,,,,2010/05/13,2010/05/16
2010,220,19,"HP Byron Nelson Championship",,,,,2010/05/20,2010/05/23
2010,230,21,"Crowne Plaza Invitational at Colonial",,,,,2010/05/27,2010/05/30
2010,240,23,"the Memorial Tournament",,,,,2010/06/03,2010/06/06
2010,250,25,"St. Jude Classic presented by FedEx",,,,,2010/06/10,2010/06/13
2010,260,26,"U.S. Open Championship",,,,,2010/06/17,2010/06/20
2010,270,34,"Travelers Championship",,,,,2010/06/24,2010/06/27
2010,280,471,"AT&T National",,,,,2010/07/01,2010/07/04
2010,290,30,"John Deere Classic",,,,,2010/07/08,2010/07/11
2010,300,472,"Reno-Tahoe Open",,,,,2010/07/15,2010/07/18
2010,310,100,"British Open Championship",,,,,2010/07/15,2010/07/18
2010,320,32,"RBC Canadian Open",,,,,2010/07/22,2010/07/25
2010,330,490,"The Greenbrier Classic",,,,,2010/07/29,2010/08/01
2010,340,481,"Turning Stone Resort Championship",,,,,2010/08/05,2010/08/08
2010,350,476,"World Golf Championships-Bridgestone Invitational",,,,,2010/08/05,2010/08/08
2010,360,33,"PGA Championship",,,,,2010/08/12,2010/08/15
2010,370,13,"Wyndham Championship",,,,,2010/08/19,2010/08/22
2010,380,27,"The Barclays",,,,,2010/08/26,2010/08/29
2010,390,505,"Deutsche Bank Championship",,,,,2010/09/02,2010/09/05
2010,400,28,"BMW Championship",,,,,2010/09/09,2010/09/12
2010,410,60,"THE TOUR Championship presented by Coca-Cola",,,,,2010/09/16,2010/09/19
2010,420,54,"Viking Classic",,,,,2010/09/30,2010/10/03
2010,440,493,"The McGladrey Classic",,,,,2010/10/07,2010/10/10
2010,450,464,"Frys.com Open",,,,,2010/10/14,2010/10/17
2010,460,47,"Justin Timberlake Shriners Hospitals for Children Open",,,,,2010/10/21,2010/10/24
2010,490,45,"Children's Miracle Network Classic",,,,,2010/11/11,2010/11/14
,,,,,,,,,
2011,10,16,"SBS Championship",,,,,2011/01/06,2011/01/09
2011,20,6,"Sony Open in Hawaii",,,,,2011/01/13,2011/01/16
2011,30,2,"Bob Hope Chrysler Classic",,,,,2011/01/19,2011/01/23
2011,40,4,"Farmers Insurance Open",,,,,2011/01/27,2011/01/30
2011,50,3,"Waste Management Phoenix Open",,,,,2011/02/03,2011/02/06
2011,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2011/02/10,2011/02/13
2011,70,7,"Northern Trust Open",,,,,2011/02/17,2011/02/20
2011,80,470,"World Golf Championships-Accenture Match Play Championship",,,,,2011/02/24,2011/02/27
2011,90,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2011/02/24,2011/02/27
2011,100,10,"The Honda Classic",,,,,2011/03/03,2011/03/06
2011,110,483,"Puerto Rico Open presented by Banco Popular",,,,,2011/03/10,2011/03/13
2011,120,473,"World Golf Championships-CA Championship",,,,,2011/03/10,2011/03/13
2011,130,475,"Transitions Championship",,,,,2011/03/17,2011/03/20
2011,140,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2011/03/24,2011/03/27
2011,150,20,"Shell Houston Open",,,,,2011/03/31,2011/04/03
2011,160,14,"Masters Tournament",,,,,2011/04/07,2011/04/10
2011,170,41,"Valero Texas Open",,,,,2011/04/14,2011/04/17
2011,180,12,Heritage,,,,,2011/04/21,2011/04/24
2011,190,18,"Zurich Classic of New Orleans",,,,,2011/04/28,2011/05/01
2011,200,480,"Wells Fargo (Quail Hollow) Championship",,,,,2011/05/05,2011/05/08
2011,210,11,"THE PLAYERS Championship",,,,,2011/05/12,2011/05/15
2011,220,21,"Crowne Plaza Invitational at Colonial",,,,,2011/05/19,2011/05/22
2011,230,19,"HP Byron Nelson Championship",,,,,2011/05/26,2011/05/29
2011,240,23,"the Memorial Tournament",,,,,2011/06/02,2011/06/05
2011,250,25,"St. Jude Classic presented by FedEx",,,,,2011/06/09,2011/06/12
2011,260,26,"U.S. Open Championship",,,,,2011/06/16,2011/06/19
2011,270,34,"Travelers Championship",,,,,2011/06/23,2011/06/26
2011,280,471,"AT&T National",,,,,2011/06/30,2011/07/03
2011,290,30,"John Deere Classic",,,,,2011/07/07,2011/07/10
2011,300,54,"Viking Classic",,,,,2011/07/14,2011/07/17
2011,310,100,"British Open Championship",,,,,2011/07/14,2011/07/17
2011,320,32,"RBC Canadian Open",,,,,2011/07/21,2011/07/24
2011,330,490,"The Greenbrier Classic",,,,,2011/07/28,2011/07/31
2011,340,472,"Reno-Tahoe Open",,,,,2011/08/04,2011/08/07
2011,350,476,"World Golf Championships-Bridgestone Invitational",,,,,2011/08/04,2011/08/07
2011,360,33,"PGA Championship",,,,,2011/08/11,2011/08/14
2011,370,13,"Wyndham Championship",,,,,2011/08/18,2011/08/21
2011,380,27,"The Barclays",,,,,2011/08/25,2011/08/28
2011,390,505,"Deutsche Bank Championship",,,,,2011/09/02,2011/09/05
2011,400,28,"BMW Championship",,,,,2011/09/08,2011/09/11
2011,410,60,"THE TOUR Championship presented by Coca-Cola",,,,,2011/09/22,2011/09/25
2011,420,47,"Justin Timberlake Shriners Hospitals for Children Open",,,,,2011/09/29,2011/10/02
2011,440,464,"Frys.com Open",,,,,2011/10/06,2011/10/09
2011,450,493,"The McGladrey Classic",,,,,2011/10/13,2011/10/16
2011,460,45,"Children's Miracle Network Classic",,,,,2011/10/20,2011/10/23
2011,490,500,"The Presidents Cup",,,,,2011/11/17,2011/11/20
,,,,,,,,,
2012,10,16,"Hyundai Tournament of Champions",,,,,2012/1/6,2012/1/9
2012,20,6,"Sony Open in Hawaii",,,,,2012/1/12,2012/1/15
2012,30,2,"Humana Challenge",,,,,2012/1/19,2012/1/22
2012,40,4,"Farmers Insurance Open",,,,,2012/1/26,2012/1/29
2012,50,3,"Waste Management Phoenix Open",,,,,2012/2/2,2012/2/5
2012,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2012/2/9,2012/2/12
2012,70,7,"Northern Trust Open",,,,,2012/2/16,2012/2/19
2012,80,470,"World Golf Championships-Accenture Match Play Championship",,,,,2012/2/22,2012/2/26
2012,90,457,"Mayakoba Golf Classic at Riviera Maya-Cancun",,,,,2012/2/23,2012/2/26
2012,100,10,"The Honda Classic",,,,,2012/3/1,2012/3/4
2012,110,483,"Puerto Rico Open presented by Banco Popular",,,,,2012/3/8,2012/3/11
2012,120,473,"World Golf Championships-CA Championship",,,,,2012/3/8,2012/3/11
2012,130,475,"Transitions Championship",,,,,2012/3/15,2012/3/18
2012,140,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2012/3/22,2012/3/25
2012,150,20,"Shell Houston Open",,,,,2012/3/29,2012/4/1
2012,160,14,"Masters Tournament",,,,,2012/4/5,2012/4/8
2012,170,12,"Heritage",,,,,2012/4/12,2012/4/15
2012,180,41,"Valero Texas Open",,,,,2012/4/19,2012/4/22
2012,190,18,"Zurich Classic of New Orleans",,,,,2012/4/26,2012/4/29
2012,200,480,"Wells Fargo (Quail Hollow) Championship",,,,,2012/5/3,2012/5/6
2012,210,11,"THE PLAYERS Championship",,,,,2012/5/10,2012/5/13
2012,220,19,"HP Byron Nelson Championship",,,,,2012/5/17,2012/5/20
2012,230,21,"Crowne Plaza Invitational at Colonial",,,,,2012/5/24,2012/5/27
2012,240,23,"the Memorial Tournament",,,,,2012/5/31,2012/6/3
2012,250,25,"St. Jude Classic presented by FedEx",,,,,2012/6/7,2012/6/10
2012,260,26,"U.S. Open Championship",,,,,2012/6/14,2012/6/17
2012,270,34,"Travelers Championship",,,,,2012/6/21,2012/6/24
2012,280,471,"AT&T National",,,,,2012/6/28,2012/7/1
2012,290,490,"The Greenbrier Classic",,,,,2012/7/5,2012/7/8
2012,300,30,"John Deere Classic",,,,,2012/7/12,2012/7/15
2012,310,54,"True South Classsic",,,,,2012/7/19,2012/7/22
2012,320,100,"British Open Championship",,,,,2012/7/19,2012/7/22
2012,330,32,"RBC Canadian Open",,,,,2012/7/26,2012/7/29
2012,340,472,"Reno-Tahoe Open",,,,,2012/8/2,2012/8/5
2012,350,476,"World Golf Championships-Bridgestone Invitational",,,,,2012/8/2,2012/8/5
2012,360,33,"PGA Championship",,,,,2012/8/9,2012/8/12
2012,370,13,"Wyndham Championship",,,,,2012/8/16,2012/8/19
2012,380,27,"The Barclays",,,,,2012/8/23,2012/8/26
2012,390,505,"Deutsche Bank Championship",,,,,2012/8/31,2012/9/3
2012,400,28,"BMW Championship",,,,,2012/9/6,2012/9/9
2012,410,60,"THE TOUR Championship presented by Coca-Cola",,,,,2012/9/20,2012/9/23
2012,420,47,"Justin Timberlake Shriners Hospitals for Children Open",,,,,2012/10/4,2012/10/7
2012,430,464,"Frys.com Open",,,,,2012/10/11,2012/10/14
2012,440,493,"The McGladrey Classic",,,,,2012/10/18,2012/10/21
2012,450,45,"Children's Miracle Network Classic",,,,,2012/11/8,2012/11/11
,,,,,,,,,
2013,10,16,"Hyundai Tournament of Champions",,,,,2013/1/4,2013/1/8
2013,20,6,"Sony Open in Hawaii",,,,,2013/1/10,2013/1/13
2013,30,2,"Humana Challenge",,,,,2013/1/17,2013/1/20
2013,40,4,"Farmers Insurance Open",,,,,2013/1/24,2013/1/28
2013,50,3,"Waste Management Phoenix Open",,,,,2013/1/31,2013/2/3
2013,60,5,"AT&T Pebble Beach National Pro-Am",,,,,2013/2/7,2013/2/10
2013,70,7,"Northern Trust Open",,,,,2013/2/14,2013/2/17
2013,80,470,"World Golf Championships-Accenture Match Play Championship",,,,,2/20/2013,2/24/2013
2013,90,10,"The Honda Classic",,,,,2013/2/28,2013/3/3
2013,100,483,"Puerto Rico Open presented by seepuertorico.com",,,,,2013/3/7,2013/3/10
2013,110,473,"World Golf Championships-CA Championship",,,,,2013/3/7,2013/3/10
2013,120,475,"Tampa Bay Championship",,,,,2013/3/14,2013/3/17
2013,130,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2013/3/21,2013/3/24
2013,140,20,"Shell Houston Open",,,,,2013/3/28,2013/3/31
2013,150,41,"Valero Texas Open",,,,,2013/4/4,2013/4/7
2013,160,14,"Masters Tournament",,,,,2013/4/11,2013/4/14
2013,170,12,"RBC Heritage",,,,,2013/4/18,2013/4/21
2013,180,18,"Zurich Classic of New Orleans",,,,,2013/4/25,2013/4/28
2013,190,480,"Wells Fargo Championship",,,,,2013/5/2,2013/5/5
2013,200,11,"THE PLAYERS Championship",,,,,2013/5/9,2013/5/12
2013,210,19,"HP Byron Nelson Championship",,,,,2013/5/16,2013/5/19
2013,220,21,"Crowne Plaza Invitational at Colonial",,,,,2013/5/23,2013/5/26
2013,230,23,"the Memorial Tournament",,,,,2013/5/30,2013/6/2
2013,240,25,"FedEx St. Jude Classic",,,,,2013/6/6,2013/6/9
2013,250,26,"U.S. Open Championship",,,,,2013/6/13,2013/6/16
2013,260,34,"Travelers Championship",,,,,2013/6/20,2013/6/23
2013,270,471,"AT&T National",,,,,2013/6/27,2013/6/30
2013,280,490,"The Greenbrier Classic",,,,,2013/7/4,2013/7/7
2013,290,30,"John Deere Classic",,,,,2013/7/11,2013/7/14
2013,300,100,"British Open Championship",,,,,2013/7/18,2013/7/21
2013,310,54,"True South Classsic",,,,,2013/7/18,2013/7/21
2013,320,32,"RBC Canadian Open",,,,,2013/7/25,2013/7/28
2013,330,472,"Reno-Tahoe Open",,,,,2013/8/1,2013/8/4
2013,340,476,"World Golf Championships-Bridgestone Invitational",,,,,2013/8/1,2013/8/4
2013,350,33,"PGA Championship",,,,,2013/8/8,2013/8/11
2013,360,13,"Wyndham Championship",,,,,2013/8/15,2013/8/18
2013,370,27,"The Barclays",,,,,2013/8/22,2013/8/25
2013,380,505,"Deutsche Bank Championship",,,,,2013/8/30,2013/9/2
2013,390,28,"BMW Championship",,,,,2013/9/12,2013/9/15
2013,400,60,"THE TOUR Championship presented by Coca-Cola",,,,,2013/9/19,2013/9/22
,,,,,,,,,
2014,10,464,"Frys.com Open",,,,,2013/10/10,2013/10/13
2014,20,47,"Shriners Hospitals for Children Open",,,,,2013/10/17,2013/10/20
2014,50,493,"The McGladrey Classic",,,,,2013/11/7,2013/11/10
2014,60,457,"OHL Classic at Mayakoba",,,,,2013/11/14,2013/11/17
2014,110,16,"Hyundai Tournament of Champions",,,,,2014/1/3,2014/1/6
2014,120,6,"Sony Open in Hawaii",,,,,2014/1/9,2014/1/12
2014,130,2,"Humana Challenge in partnership with the Clinton Foundation",,,,,2014/1/16,2014/1/19
2014,140,4,"Farmers Insurance Open",,,,,2014/1/23,2014/1/26
2014,150,3,"Waste Management Phoenix Open",,,,,2014/1/30,2014/2/2
2014,160,5,"AT&T Pebble Beach National Pro-Am",,,,,2014/2/6,2014/2/9
2014,170,7,"Northern Trust Open",,,,,2014/2/13,2014/2/16
2014,180,470,"World Golf Championships-Accenture Match Play Championship",,,,,2014/2/20,2014/2/23
2014,190,10,"The Honda Classic",,,,,2014/2/27,2014/3/2
2014,200,483,"Puerto Rico Open presented by seepuertorico.com",,,,,2014/3/6,2014/3/9
2014,210,473,"World Golf Championships-CA Championship",,,,,2014/3/6,2014/3/9
2014,220,475,"Valspar Championship",,,,,2014/3/13,2014/3/16
2014,230,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2014/3/20,2014/3/23
2014,240,41,"Valero Texas Open",,,,,2014/3/27,2014/3/30
2014,250,20,"Shell Houston Open",,,,,2014/4/3,2014/4/6
2014,260,14,"Masters Tournament",,,,,2014/4/10,2014/4/13
2014,270,12,"RBC Heritage",,,,,2014/4/17,2014/4/20
2014,280,18,"Zurich Classic of New Orleans",,,,,2014/4/24,2014/4/27
2014,290,480,"Wells Fargo Championship",,,,,2014/5/1,2014/5/4
2014,300,11,"THE PLAYERS Championship",,,,,2014/5/8,2014/5/11
2014,310,19,"HP Byron Nelson Championship",,,,,2014/5/15,2014/5/18
2014,320,21,"Crowne Plaza Invitational at Colonial",,,,,2014/5/22,2014/5/25
2014,330,23,"the Memorial Tournament",,,,,2014/5/29,2014/6/1
2014,340,25,"FedEx St. Jude Classic",,,,,2014/6/5,2014/6/8
2014,350,26,"U.S. Open Championship",,,,,2014/6/12,2014/6/15
2014,360,34,"Travelers Championship",,,,,2014/6/19,2014/6/22
2014,370,471,"AT&T National",,,,,2014/6/26,2014/6/29
2014,380,490,"The Greenbrier Classic",,,,,2014/7/3,2014/7/6
2014,390,30,"John Deere Classic",,,,,2014/7/10,2014/7/13
2014,400,100,"British Open Championship",,,,,2014/7/17,2014/7/20
2014,410,32,"RBC Canadian Open",,,,,2014/7/24,2014/7/27
2014,420,472,"Reno-Tahoe Open",,,,,2014/7/31,2014/8/3
2014,430,476,"World Golf Championships-Bridgestone Invitational",,,,,2014/7/31,2014/8/3
2014,440,33,"PGA Championship",,,,,2014/8/7,2014/8/10
2014,450,13,"Wyndham Championship",,,,,2014/8/14,2014/8/17
2014,460,27,"The Barclays",,,,,2014/8/21,2014/8/24
2014,470,505,"Deutsche Bank Championship",,,,,2014/8/29,2014/9/1
2014,480,28,"BMW Championship",,,,,2014/9/4,2014/9/7
2014,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2014/9/11,2014/9/14
,,,,,,,,,
2015,10,464,"Frys.com Open",,,,,2014/10/9,2014/10/12
2015,20,47,"Shriners Hospitals for Children Open",,,,,2014/10/16,2014/10/19
2015,30,493,"The McGladrey Classic",,,,,2014/10/23,2014/10/26
2015,50,54,"Sanderson Farms Championship",,,,,2014/11/6,2014/11/9
2015,70,457,"OHL Classic at Mayakoba",,,,,2014/11/13,2014/11/16
2015,100,16,"Hyundai Tournament of Champions",,,,,2015/1/9,2015/1/12
2015,110,6,"Sony Open in Hawaii",,,,,2015/1/15,2015/1/18
2015,120,2,"Humana Challenge in partnership with the Clinton Foundation",,,,,2015/1/22,2015/1/25
2015,130,3,"Waste Management Phoenix Open",,,,,2015/1/29,2015/2/1
2015,140,4,"Farmers Insurance Open",,,,,2015/2/5,2015/2/8
2015,150,5,"AT&T Pebble Beach National Pro-Am",,,,,2015/2/12,2015/2/15
2015,160,7,"Northern Trust Open",,,,,2015/2/19,2015/2/22
2015,170,10,"The Honda Classic",,,,,2015/2/26,2015/3/1
2015,180,473,"World Golf Championships-CA Championship",,,,,2015/3/5,2015/3/8
2015,190,483,"Puerto Rico Open presented by seepuertorico.com",,,,,2015/3/5,2015/3/8
2015,200,475,"Valspar Championship",,,,,2015/3/12,2015/3/15
2015,210,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2015/3/19,2015/3/22
2015,220,41,"Valero Texas Open",,,,,2015/3/26,2015/3/29
2015,230,20,"Shell Houston Open",,,,,2015/4/2,2015/4/5
2015,240,14,"Masters Tournament",,,,,2015/4/9,2015/4/12
2015,250,12,"RBC Heritage",,,,,2015/4/16,2015/4/19
2015,260,18,"Zurich Classic of New Orleans",,,,,2015/4/23,2015/4/26
2015,270,470,"World Golf Championships-Accenture Match Play Championship",,,,,2015/4/29,2015/5/3
2015,280,11,"THE PLAYERS Championship",,,,,2015/5/7,2015/5/10
2015,290,480,"Wells Fargo Championship",,,,,2015/5/14,2015/5/17
2015,300,21,"Crowne Plaza Invitational at Colonial",,,,,2015/5/21,2015/5/24
2015,310,19,"AT&T Byron Nelson Championship",,,,,2015/5/28,2015/5/31
2015,320,23,"the Memorial Tournament",,,,,2015/6/4,2015/6/7
2015,330,25,"FedEx St. Jude Classic",,,,,2015/6/11,2015/6/14
2015,340,26,"U.S. Open Championship",,,,,2015/6/18,2014/6/21
2015,350,34,"Travelers Championship",,,,,2015/6/25,2015/6/28
2015,360,490,"The Greenbrier Classic",,,,,2015/7/2,2015/7/5
2015,370,30,"John Deere Classic",,,,,2015/7/9,2015/7/12
2015,380,518,"Barbasol Championship",,,,,2015/7/16,2015/7/19
2015,390,100,"British Open Championship",,,,,2015/7/16,2015/7/19
2015,400,32,"RBC Canadian Open",,,,,2015/7/23,2015/7/26
2015,410,471,"Quicken Loans National",,,,,2015/7/30,2015/8/2
2015,430,476,"World Golf Championships-Bridgestone Invitational",,,,,2015/8/6,2015/8/9
2015,440,33,"PGA Championship",,,,,2015/8/13,2015/8/19
2015,450,13,"Wyndham Championship",,,,,2015/8/20,2015/8/23
2015,460,27,"The Barclays",,,,,2015/8/27,2015/8/30
2015,470,505,"Deutsche Bank Championship",,,,,2015/9/4,2015/9/7
2015,480,28,"BMW Championship",,,,,2015/9/17,2015/9/20
2015,490,60,"THE TOUR Championship presented by Coca-Cola",,,,,2015/9/24,2015/9/27
,,,,,,,,,
2016,10,464,"Frys.com Open",,,,,2015/10/15,2015/10/18
2016,20,47,"Shriners Hospitals for Children Open",,,,,2015/10/22,2015/10/25
2016,40,54,"Sanderson Farms",,,,,2015/11/5,2015/11/8
2016,60,457,"OHL Classic at Mayakoba",,,,,2015/11/12,2015/11/15
2016,70,493,"The RSM Classic",,,,,2015/11/19,2015/11/22
2016,100,16,"Hyundai Tournament of Champions",,,,,2016/1/7,2016/1/10
2016,110,6,"Sony Open in Hawaii",,,,,2016/1/14,2016/1/17
2016,120,2,"CareerBuilder Challenge in partnership with the CI",,,,,2016/1/21,2016/1/24
2016,130,4,"Farmers Insurance Open",,,,,2016/1/28,2016/1/31
2016,140,3,"Waste Management Phoenix Open",,,,,2016/2/4,2016/2/7
2016,150,5,"AT&T Pebble Beach National Pro-Am",,,,,2016/2/11,2016/2/14
2016,160,7,"Northern Trust Open",,,,,2016/2/18,2016/2/21
2016,170,10,"The Honda Classic",,,,,2016/2/25,2016/2/28
2016,180,473,"World Golf Championships-CA Championship",,,,,2016/3/3,2016/3/6
2016,190,475,"Valspar Championship",,,,,2016/3/10,2016/3/13
2016,200,9,"Arnold Palmer Invitational presented by MasterCard",,,,,2016/3/17,2016/3/20
2016,210,470,"World Golf Championships-Dell Match Play Championship",,,,,2016/3/23,2016/3/27
2016,220,483,"Puerto Rico Open presented by seepuertorico.com",,,,,2016/3/24,2016/3/27
2016,230,20,"Shell Houston Open",,,,,2016/3/31,2016/4/3
2016,240,14,"Masters Tournament",,,,,2016/4/7,2016/4/10
2016,250,12,"RBC Heritage",,,,,2016/4/14,2016/4/17
2016,260,41,"Valero Texas Open",,,,,2016/4/21,2016/4/24
2016,270,18,"Zurich Classic of New Orleans",,,,,2016/4/28,2016/5/1
2016,280,480,"Wells Fargo Championship",,,,,2016/5/5,2016/5/8
2016,290,11,"THE PLAYERS Championship",,,,,2016/5/12,2016/5/15
2016,300,19,"AT&T Byron Nelson Championship",,,,,2016/5/19,2016/5/22
2016,310,21,"Colonial National Invitation Tournament",,,,,2016/5/26,2016/5/29
2016,320,23,"the Memorial Tournament",,,,,2016/6/2,2016/6/5
2016,330,25,"FedEx St. Jude Classic",,,,,2016/6/9,2016/6/12
2016,340,26,"U.S. Open Championship",,,,,2016/6/16,2014/6/19
2016,350,471,"Quicken Loans National",,,,,2016/6/23,2016/6/26
2016,360,476,"World Golf Championships-Bridgestone Invitational",,,,,2016/6/30,2016/8/9
2016,370,490,"The Greenbrier Classic",,,,,2016/7/7,2016/7/10
2016,380,518,"Barbasol Championship",,,,,2016/7/14,2016/7/17
2016,390,100,"The Open Championship",,,,,2016/7/14,2016/7/17
2016,400,32,"RBC Canadian Open",,,,,2016/7/21,2016/7/24
2016,410,33,"PGA Championship",,,,,2016/7/28,2016/7/31
2016,420,34,"Travelers Championship",,,,,2016/8/4,2016/8/7
2016,430,30,"John Deere Classic",,,,,2016/8/11,2016/8/14
2016,440,13,"Wyndham Championship",,,,,2016/8/18,2016/8/21
2016,450,27,"The Barclays",,,,,2016/8/25,2016/8/28
2016,460,505,"Deutsche Bank Championship",,,,,2016/9/2,2016/9/5
2016,470,28,"BMW Championship",,,,,2016/9/8,2016/9/11
2016,480,60,"THE TOUR Championship presented by Coca-Cola",,,,,2016/9/22,2016/9/25
